,index,draw,location_id,age_group_id,value
0,0,draw_0,165,7,0.0422047432285268
1,1,draw_0,179,7,0.028587907540957296
2,2,draw_0,180,7,0.005565402813441098
3,3,draw_0,214,7,0.0207522591516382
4,4,draw_0,165,8,0.01589828655202446
5,5,draw_0,179,8,0.014704604017377042
6,6,draw_0,180,8,0.009191813220673896
7,7,draw_0,214,8,0.05261733027879975
8,8,draw_0,165,9,0.01613808161156403
9,9,draw_0,179,9,0.01941352169987828
10,10,draw_0,180,9,0.0049865208942217265
11,11,draw_0,214,9,0.037620380134031926
12,12,draw_0,165,10,0.03308761049513056
13,13,draw_0,179,10,0.020889130989774202
14,14,draw_0,180,10,0.006097287670328341
15,15,draw_0,214,10,0.0322810203252536
16,16,draw_0,165,11,0.042026782481210535
17,17,draw_0,179,11,0.0220345737665053
18,18,draw_0,180,11,0.004843110360673917
19,19,draw_0,214,11,0.04336724979555243
20,20,draw_0,165,12,0.03508551503228628
21,21,draw_0,179,12,0.010391790214972552
22,22,draw_0,180,12,0.018059190866964038
23,23,draw_0,214,12,0.03164449820835983
24,24,draw_0,165,13,0.04533497290110984
25,25,draw_0,179,13,0.009880412578884628
26,26,draw_0,180,13,0.00400131223240606
27,27,draw_0,214,13,0.04006688076902551
28,28,draw_0,165,14,0.04084871488408093
29,29,draw_0,179,14,0.014411377065987059
30,30,draw_0,180,14,0.01002507224918035
31,31,draw_0,214,14,0.017366333705548583
32,32,draw_0,165,15,0.01812146002445775
33,33,draw_0,179,15,0.016362160514173184
34,34,draw_0,180,15,0.05491365391460663
35,35,draw_0,214,15,0.03020008263248986
36,36,draw_1,165,7,0.0559401750485528
37,37,draw_1,179,7,0.004084162930571131
38,38,draw_1,180,7,0.008002243959092915
39,39,draw_1,214,7,0.02979636911413075
40,40,draw_1,165,8,0.04908920883060215
41,41,draw_1,179,8,0.013653151227276714
42,42,draw_1,180,8,0.011566885921662768
43,43,draw_1,214,8,0.030986689761818693
44,44,draw_1,165,9,0.05180318507588065
45,45,draw_1,179,9,0.014982528754251235
46,46,draw_1,180,9,0.021262433735097556
47,47,draw_1,214,9,0.02596467834462917
48,48,draw_1,165,10,0.013911732727713635
49,49,draw_1,179,10,0.023372876025062748
50,50,draw_1,180,10,0.011616134843336855
51,51,draw_1,214,10,0.017425059052047477
52,52,draw_1,165,11,0.010782737245119045
53,53,draw_1,179,11,0.015262245555757472
54,54,draw_1,180,11,0.02608683821527407
55,55,draw_1,214,11,0.03401896911376474
56,56,draw_1,165,12,0.04363041429078521
57,57,draw_1,179,12,0.011252615765079358
58,58,draw_1,180,12,0.006479202735601638
59,59,draw_1,214,12,0.030316087840184348
60,60,draw_1,165,13,0.038372104453668766
61,61,draw_1,179,13,0.011403284550681764
62,62,draw_1,180,13,0.017438440913728436
63,63,draw_1,214,13,0.01867286679402111
64,64,draw_1,165,14,0.056190946312441606
65,65,draw_1,179,14,0.008472417335360579
66,66,draw_1,180,14,0.009423287159832566
67,67,draw_1,214,14,0.03780993434795657
68,68,draw_1,165,15,0.03611062092322169
69,69,draw_1,179,15,0.0
70,70,draw_1,180,15,0.0
71,71,draw_1,214,15,0.02048058247202656
72,72,draw_2,165,7,0.035881389688496114
73,73,draw_2,179,7,0.012853771183993865
74,74,draw_2,180,7,0.0
75,75,draw_2,214,7,0.028117510855144613
76,76,draw_2,165,8,0.01887729885797874
77,77,draw_2,179,8,0.009704703510433016
78,78,draw_2,180,8,0.00715519951009475
79,79,draw_2,214,8,0.04149165210919596
80,80,draw_2,165,9,0.031316337855045916
81,81,draw_2,179,9,0.019791132669673497
82,82,draw_2,180,9,0.009128188533777795
83,83,draw_2,214,9,0.02801082119995671
84,84,draw_2,165,10,0.04293080017215091
85,85,draw_2,179,10,0.01869014880175842
86,86,draw_2,180,10,0.003322302013686565
87,87,draw_2,214,10,0.03284441384637397
88,88,draw_2,165,11,0.025963877644231
89,89,draw_2,179,11,0.017626097401260154
90,90,draw_2,180,11,0.01964218633452631
91,91,draw_2,214,11,0.02718889974026565
92,92,draw_2,165,12,0.0377788921411386
93,93,draw_2,179,12,0.016935400871534206
94,94,draw_2,180,12,0.005702002280655805
95,95,draw_2,214,12,0.029293302173998673
96,96,draw_2,165,13,0.02482770528309107
97,97,draw_2,179,13,0.021542615114393815
98,98,draw_2,180,13,0.004627680828396964
99,99,draw_2,214,13,0.031995422232224215
100,100,draw_2,165,14,0.003938345193602984
101,101,draw_2,179,14,0.00866142927622887
102,102,draw_2,180,14,0.013610461068516534
103,103,draw_2,214,14,0.031163474211088907
104,104,draw_2,165,15,0.03920329514140148
105,105,draw_2,179,15,0.011470217028189135
106,106,draw_2,180,15,0.022068128928805435
107,107,draw_2,214,15,0.057739173434360504
108,108,draw_3,165,7,0.03515224477078875
109,109,draw_3,179,7,0.006122701469099769
110,110,draw_3,180,7,0.013442741920331586
111,111,draw_3,214,7,0.04263260096031471
112,112,draw_3,165,8,0.0012198316436992027
113,113,draw_3,179,8,0.015406423211063783
114,114,draw_3,180,8,0.013047189242331936
115,115,draw_3,214,8,0.031727576050079385
116,116,draw_3,165,9,0.020200702146472314
117,117,draw_3,179,9,0.017439604099934
118,118,draw_3,180,9,0.005538056669837265
119,119,draw_3,214,9,0.04460793595858463
120,120,draw_3,165,10,0.007048986541073308
121,121,draw_3,179,10,0.02000467860499668
122,122,draw_3,180,10,0.003710339981347354
123,123,draw_3,214,10,0.02086139927485146
124,124,draw_3,165,11,0.01640816972578743
125,125,draw_3,179,11,0.01567488124902818
126,126,draw_3,180,11,0.015189804101143452
127,127,draw_3,214,11,0.027520165059349483
128,128,draw_3,165,12,0.05857769487239563
129,129,draw_3,179,12,0.01883352004231626
130,130,draw_3,180,12,0.0
131,131,draw_3,214,12,0.024702458126235224
132,132,draw_3,165,13,0.027528287666181393
133,133,draw_3,179,13,0.01036503916228905
134,134,draw_3,180,13,0.024463132332275393
135,135,draw_3,214,13,0.011452208453754966
136,136,draw_3,165,14,0.027400727842907417
137,137,draw_3,179,14,0.01708876287663072
138,138,draw_3,180,14,0.011616135439820714
139,139,draw_3,214,14,0.033050937652719145
140,140,draw_3,165,15,0.04010219479084827
141,141,draw_3,179,15,0.030638247763119457
142,142,draw_3,180,15,0.02170694870388786
143,143,draw_3,214,15,0.030171405021490835
144,144,draw_4,165,7,0.08581265608729384
145,145,draw_4,179,7,0.01893621449366198
146,146,draw_4,180,7,0.011480717233408695
147,147,draw_4,214,7,0.039217528911463906
148,148,draw_4,165,8,0.03054420020170794
149,149,draw_4,179,8,0.008372738734592804
150,150,draw_4,180,8,0.013121161668624873
151,151,draw_4,214,8,0.000269259664740399
152,152,draw_4,165,9,0.045263529126152294
153,153,draw_4,179,9,0.01866206219934043
154,154,draw_4,180,9,0.004761552732977154
155,155,draw_4,214,9,0.032824504791834026
156,156,draw_4,165,10,0.0192844053359106
157,157,draw_4,179,10,0.021356224091156926
158,158,draw_4,180,10,0.006982998323258704
159,159,draw_4,214,10,0.02174451784442763
160,160,draw_4,165,11,0.019542255246367917
161,161,draw_4,179,11,0.017404786634729934
162,162,draw_4,180,11,0.018855061199605685
163,163,draw_4,214,11,0.040222696922671226
164,164,draw_4,165,12,0.017930220306347316
165,165,draw_4,179,12,0.008706509862871074
166,166,draw_4,180,12,0.012046844280927978
167,167,draw_4,214,12,0.012369818796270974
168,168,draw_4,165,13,0.02844487476393472
169,169,draw_4,179,13,0.012317518285855813
170,170,draw_4,180,13,0.007437557594720947
171,171,draw_4,214,13,0.017241247160229473
172,172,draw_4,165,14,0.03806362897477715
173,173,draw_4,179,14,0.009058559388545103
174,174,draw_4,180,14,0.018640476279302924
175,175,draw_4,214,14,0.0
176,176,draw_4,165,15,0.03755949011624233
177,177,draw_4,179,15,0.0
178,178,draw_4,180,15,0.030010907374101566
179,179,draw_4,214,15,0.0
180,180,draw_5,165,7,0.07431290806004157
181,181,draw_5,179,7,0.002748612152457388
182,182,draw_5,180,7,0.0023011288952455656
183,183,draw_5,214,7,0.01946939714036385
184,184,draw_5,165,8,0.03874148632254949
185,185,draw_5,179,8,0.018658689700449864
186,186,draw_5,180,8,0.017507253987427966
187,187,draw_5,214,8,0.011764780563938922
188,188,draw_5,165,9,0.042467628560041513
