,draw,location_id,age_group_id,value
0,draw_0,159,8,
1,draw_0,159,9,
2,draw_0,159,10,
3,draw_0,159,11,
4,draw_0,159,12,
5,draw_0,159,13,
6,draw_0,159,14,
7,draw_0,159,15,
8,draw_0,165,8,0.048030564
9,draw_0,165,9,0.051396195
10,draw_0,165,10,0.047461476
11,draw_0,165,11,0.049180085
12,draw_0,165,12,0.081924335
13,draw_0,165,13,0.047528907
14,draw_0,165,14,0.031785525
15,draw_0,165,15,0.031374513
16,draw_0,174,8,
17,draw_0,174,9,
18,draw_0,174,10,
19,draw_0,174,11,
20,draw_0,174,12,
21,draw_0,174,13,
22,draw_0,174,14,
23,draw_0,174,15,
24,draw_0,179,8,0.110593821
25,draw_0,179,9,0.106593235
26,draw_0,179,10,0.09736572
27,draw_0,179,11,0.102526349
28,draw_0,179,12,0.095808947
29,draw_0,179,13,0.087318368
30,draw_0,179,14,0.091280641
31,draw_0,179,15,0.087808254
32,draw_0,199,8,
33,draw_0,199,9,
34,draw_0,199,10,
35,draw_0,199,11,
36,draw_0,199,12,
37,draw_0,199,13,
38,draw_0,199,14,
39,draw_0,199,15,
40,draw_0,214,8,0.100540012
41,draw_0,214,9,0.102473616
42,draw_0,214,10,0.221215893
43,draw_0,214,11,0.155597698
44,draw_0,214,12,0.106701033
45,draw_0,214,13,0.099203774
46,draw_0,214,14,0.092122121
47,draw_0,214,15,0.147192753
48,draw_1,159,8,
49,draw_1,159,9,
50,draw_1,159,10,
51,draw_1,159,11,
52,draw_1,159,12,
53,draw_1,159,13,
54,draw_1,159,14,
55,draw_1,159,15,
56,draw_1,165,8,0.032882462
57,draw_1,165,9,0.033293876
58,draw_1,165,10,0.09031049
59,draw_1,165,11,0.071949655
60,draw_1,165,12,0.048881121
61,draw_1,165,13,0.040838794
62,draw_1,165,14,0.036457515
63,draw_1,165,15,0.044467897
64,draw_1,174,8,
65,draw_1,174,9,
66,draw_1,174,10,
67,draw_1,174,11,
68,draw_1,174,12,
69,draw_1,174,13,
70,draw_1,174,14,
71,draw_1,174,15,
72,draw_1,179,8,0.177508485
73,draw_1,179,9,0.17424255
74,draw_1,179,10,0.110986434
75,draw_1,179,11,0.113102241
76,draw_1,179,12,0.138044186
77,draw_1,179,13,0.116758172
78,draw_1,179,14,0.087755497
79,draw_1,179,15,0.124923727
80,draw_1,199,8,
81,draw_1,199,9,
82,draw_1,199,10,
83,draw_1,199,11,
84,draw_1,199,12,
85,draw_1,199,13,
86,draw_1,199,14,
87,draw_1,199,15,
88,draw_1,214,8,0.162533756
89,draw_1,214,9,0.163733858
90,draw_1,214,10,0.146984417
91,draw_1,214,11,0.1451888
92,draw_1,214,12,0.093358659
93,draw_1,214,13,0.105430284
94,draw_1,214,14,0.060605437
95,draw_1,214,15,0.12979398
96,draw_10,159,8,
97,draw_10,159,9,
98,draw_10,159,10,
99,draw_10,159,11,
100,draw_10,159,12,
101,draw_10,159,13,
102,draw_10,159,14,
103,draw_10,159,15,
104,draw_10,165,8,0.070507044
105,draw_10,165,9,0.071060279
106,draw_10,165,10,0.093137818
107,draw_10,165,11,0.09392649
108,draw_10,165,12,0.078198492
109,draw_10,165,13,0.056730379
110,draw_10,165,14,0.039124996
111,draw_10,165,15,0.017165417
112,draw_10,174,8,
113,draw_10,174,9,
114,draw_10,174,10,
115,draw_10,174,11,
116,draw_10,174,12,
117,draw_10,174,13,
118,draw_10,174,14,
119,draw_10,174,15,
120,draw_10,179,8,0.162118831
121,draw_10,179,9,0.160118027
122,draw_10,179,10,0.189653696
123,draw_10,179,11,0.145770583
124,draw_10,179,12,0.154827533
125,draw_10,179,13,0.127238062
126,draw_10,179,14,0.09818967
127,draw_10,179,15,0.113293542
128,draw_10,199,8,
129,draw_10,199,9,
130,draw_10,199,10,
131,draw_10,199,11,
132,draw_10,199,12,
133,draw_10,199,13,
134,draw_10,199,14,
135,draw_10,199,15,
136,draw_10,214,8,0.169590841
137,draw_10,214,9,0.167125592
138,draw_10,214,10,0.089560484
139,draw_10,214,11,0.084153704
140,draw_10,214,12,0.087364655
141,draw_10,214,13,0.071935755
142,draw_10,214,14,0.107107318
143,draw_10,214,15,0.066633179
144,draw_100,159,8,
145,draw_100,159,9,
146,draw_100,159,10,
147,draw_100,159,11,
148,draw_100,159,12,
149,draw_100,159,13,
150,draw_100,159,14,
151,draw_100,159,15,
152,draw_100,165,8,0.140132362
153,draw_100,165,9,0.13414635
154,draw_100,165,10,0.358183259
