draw,location_id,age_group_id,value
draw_0,165,8,
draw_0,165,9,
draw_0,165,10,
draw_0,165,11,
draw_0,165,12,
draw_0,165,13,
draw_0,165,14,
draw_0,165,15,0.04275803052436138
draw_0,179,8,0.25620219372633873
draw_0,179,9,0.25529324429124906
draw_0,179,10,0.2328680473790895
draw_0,179,11,0.26801764794021504
draw_0,179,12,0.25163925578462176
draw_0,179,13,0.04743357712431297
draw_0,179,14,0.05360794241854115
draw_0,179,15,0.07130793304420842
draw_0,180,8,0.04651075923526973
draw_0,180,9,0.04574813271881822
draw_0,180,10,0.043339487634729064
draw_0,180,11,0.06325486353826087
draw_0,180,12,0.048133811811405566
draw_0,180,13,0.04256357063049125
draw_0,180,14,0.03510870130873493
draw_0,180,15,
draw_0,214,8,
draw_0,214,9,
draw_0,214,10,0.03461148810938511
draw_0,214,11,0.046606977584736746
draw_0,214,12,0.034438741468432905
draw_0,214,13,0.03817181403340023
draw_0,214,14,0.029634304738780738
draw_0,214,15,
draw_1,165,8,0.11502196185160728
draw_1,165,9,0.116277941017216
draw_1,165,10,0.07618252856581947
draw_1,165,11,
draw_1,165,12,
draw_1,165,13,
draw_1,165,14,
draw_1,165,15,
draw_1,179,8,0.08710732623318632
draw_1,179,9,0.08134441435776756
draw_1,179,10,0.08084663717333417
draw_1,179,11,0.07885121325416307
draw_1,179,12,0.09376673605919172
draw_1,179,13,0.09899090062636735
draw_1,179,14,0.11354119524988383
draw_1,179,15,0.11184488027417074
draw_1,180,8,0.06632534483555211
draw_1,180,9,0.0650734314050705
draw_1,180,10,
draw_1,180,11,0.07964306303237918
draw_1,180,12,0.045074015424624095
draw_1,180,13,
draw_1,180,14,
draw_1,180,15,0.031732768102232675
draw_1,214,8,0.05662530183025061
draw_1,214,9,0.056235787365592385
draw_1,214,10,0.06838453625984309
draw_1,214,11,0.07708970536904113
draw_1,214,12,0.05115612622912985
draw_1,214,13,0.05492141346795277
draw_1,214,14,0.05845100389087924
draw_1,214,15,
draw_10,165,8,0.0661965343660217
draw_10,165,9,0.06811182300386429
draw_10,165,10,0.04550123367891922
draw_10,165,11,0.06127105949408498
draw_10,165,12,0.03396516146686123
draw_10,165,13,
draw_10,165,14,
draw_10,165,15,0.037360357654841594
draw_10,179,8,0.2069826833701153
draw_10,179,9,0.1920641864773969
draw_10,179,10,0.2025824794739734
draw_10,179,11,0.20409777824554656
draw_10,179,12,0.18386931030964712
draw_10,179,13,0.17981714717237143
draw_10,179,14,0.20013453299375714
draw_10,179,15,0.2158274508364461
draw_10,180,8,0.09132922258230437
draw_10,180,9,0.09048553469626705
draw_10,180,10,0.06122555893866601
draw_10,180,11,0.04795740562918223
draw_10,180,12,0.038087350377899544
draw_10,180,13,0.0631091710372042
draw_10,180,14,0.03342983761069943
draw_10,180,15,0.03939120312568014
draw_10,214,8,0.10160370614627577
draw_10,214,9,0.09846713077338946
draw_10,214,10,0.07267942042144766
draw_10,214,11,0.07251531522115863
draw_10,214,12,0.04841144450905598
draw_10,214,13,0.06417190473342803
draw_10,214,14,0.058108785585969554
draw_10,214,15,
draw_100,165,8,0.1319023085074275
draw_100,165,9,0.12740066053437882
draw_100,165,10,
draw_100,165,11,
draw_100,165,12,
draw_100,165,13,
draw_100,165,14,0.04069407873262282
draw_100,165,15,
draw_100,179,8,0.2048487370557542
draw_100,179,9,0.19513176861151602
draw_100,179,10,0.18687759737834733
draw_100,179,11,0.1693960100259589
draw_100,179,12,0.11757745208010226
draw_100,179,13,0.05305143262300932
draw_100,179,14,0.06727534759830488
draw_100,179,15,0.0658160437050661
draw_100,180,8,0.04130315667804166
draw_100,180,9,0.0417806738792217
draw_100,180,10,0.04485994253585827
draw_100,180,11,0.055289480970191165
draw_100,180,12,0.06346998102385296
draw_100,180,13,0.07310694604850324
draw_100,180,14,0.06930162283339386
draw_100,180,15,
draw_100,214,8,0.03075668948821637
draw_100,214,9,0.030069844868725486
draw_100,214,10,0.03823505515854583
draw_100,214,11,0.04034763733311705
draw_100,214,12,0.042789234641579105
draw_100,214,13,0.028054064606501214
draw_100,214,14,0.04117766162668378
draw_100,214,15,0.06415236001553713
draw_101,165,8,0.06767543738962027
draw_101,165,9,0.06531233178599342
draw_101,165,10,0.10022445145958833
draw_101,165,11,0.05250820924696129
draw_101,165,12,0.04991149689409676
draw_101,165,13,0.04273798336277978
draw_101,165,14,0.04397665801831911
draw_101,165,15,
draw_101,179,8,
draw_101,179,9,
draw_101,179,10,
draw_101,179,11,0.058132005739882746
draw_101,179,12,0.038996424736916016
draw_101,179,13,0.14753701463085675
draw_101,179,14,0.1550823166777386
draw_101,179,15,0.2048474506629001
draw_101,180,8,0.06393213987109307
draw_101,180,9,0.06223278401801727
