,index,draw,location_id,age_group_id,value
146,146,draw_10,199,10,0.020143165
147,147,draw_10,199,11,0.015722424
148,148,draw_10,199,12,0.014905856
149,149,draw_10,199,13,0.024616106
150,150,draw_10,199,14,0.012185621
151,151,draw_10,199,15,0.016904925
152,152,draw_10,199,16,0.026102784
153,153,draw_10,214,8,0.019231085
154,154,draw_10,214,9,0.018528778
155,155,draw_10,214,10,0.020143165
156,156,draw_10,214,11,0.015722424
157,157,draw_10,214,12,0.014905856
158,158,draw_10,214,13,0.024616106
159,159,draw_10,214,14,0.012185621
160,160,draw_10,214,15,0.016904925
161,161,draw_10,214,16,0.026102784
162,162,draw_100,159,8,0.010922731
163,163,draw_100,159,9,0.025242818
164,164,draw_100,159,10,0.004204396
165,165,draw_100,159,11,0.0042579
166,166,draw_100,159,12,0.009424072
167,167,draw_100,159,13,0.012606534
168,168,draw_100,159,14,0.084501456
169,169,draw_100,159,15,0.010038043
170,170,draw_100,159,16,0.060589998
171,171,draw_100,165,8,0.010922731
172,172,draw_100,165,9,0.025242818
173,173,draw_100,165,10,0.004204396
174,174,draw_100,165,11,0.0042579
175,175,draw_100,165,12,0.009424072
176,176,draw_100,165,13,0.012606534
177,177,draw_100,165,14,0.084501456
178,178,draw_100,165,15,0.010038043
179,179,draw_100,165,16,0.060589998
180,180,draw_100,174,8,0.007370603
181,181,draw_100,174,9,0.006468553
182,182,draw_100,174,10,0.005963437
183,183,draw_100,174,11,0.009052148
184,184,draw_100,174,12,0.009257476
185,185,draw_100,174,13,0.004640318
186,186,draw_100,174,14,0.007074697
187,187,draw_100,174,15,0.007231188
188,188,draw_100,174,16,0.002225123
189,189,draw_100,179,8,0.007370603
190,190,draw_100,179,9,0.006468553
191,191,draw_100,179,10,0.005963437
192,192,draw_100,179,11,0.009052148
193,193,draw_100,179,12,0.009257476
194,194,draw_100,179,13,0.004640318
195,195,draw_100,179,14,0.007074697
196,196,draw_100,179,15,0.007231188
197,197,draw_100,179,16,0.002225123
198,198,draw_100,199,8,0.020885181
199,199,draw_100,199,9,0.013691608
200,200,draw_100,199,10,0.016128093
201,201,draw_100,199,11,0.019602028
202,202,draw_100,199,12,0.016437137
203,203,draw_100,199,13,0.017080027
204,204,draw_100,199,14,0.013290735
205,205,draw_100,199,15,0.029310067
206,206,draw_100,199,16,0.035795775
207,207,draw_100,214,8,0.020885181
208,208,draw_100,214,9,0.013691608
209,209,draw_100,214,10,0.016128093
210,210,draw_100,214,11,0.019602028
211,211,draw_100,214,12,0.016437137
212,212,draw_100,214,13,0.017080027
213,213,draw_100,214,14,0.013290735
214,214,draw_100,214,15,0.029310067
215,215,draw_100,214,16,0.035795775
216,216,draw_101,159,8,0.000462435
217,217,draw_101,159,9,0.011950401
218,218,draw_101,159,10,0.005604177
219,219,draw_101,159,11,0.006836003
220,220,draw_101,159,12,0.031885795
221,221,draw_101,159,13,0.053152607
222,222,draw_101,159,14,0.02168515
223,223,draw_101,159,15,0.011153058
224,224,draw_101,159,16,0.017645878
225,225,draw_101,165,8,0.000462435
226,226,draw_101,165,9,0.011950401
227,227,draw_101,165,10,0.005604177
228,228,draw_101,165,11,0.006836003
229,229,draw_101,165,12,0.031885795
230,230,draw_101,165,13,0.053152607
231,231,draw_101,165,14,0.02168515
232,232,draw_101,165,15,0.011153058
233,233,draw_101,165,16,0.017645878
234,234,draw_101,174,8,0.006302878
235,235,draw_101,174,9,0.006675893
236,236,draw_101,174,10,0.008274666
237,237,draw_101,174,11,0.005510095
238,238,draw_101,174,12,0.005594295
239,239,draw_101,174,13,0.007112607
240,240,draw_101,174,14,0.004474327
241,241,draw_101,174,15,0.003593992
242,242,draw_101,174,16,0.002132131
243,243,draw_101,179,8,0.006302878
244,244,draw_101,179,9,0.006675893
245,245,draw_101,179,10,0.008274666
246,246,draw_101,179,11,0.005510095
247,247,draw_101,179,12,0.005594295
248,248,draw_101,179,13,0.007112607
249,249,draw_101,179,14,0.004474327
250,250,draw_101,179,15,0.003593992
251,251,draw_101,179,16,0.002132131
252,252,draw_101,199,8,0.017753949
253,253,draw_101,199,9,0.01674388
254,254,draw_101,199,10,0.015778632
255,255,draw_101,199,11,0.011067468
256,256,draw_101,199,12,0.010988081
257,257,draw_101,199,13,0.014183699
258,258,draw_101,199,14,0.021159911
259,259,draw_101,199,15,0.021679683
260,260,draw_101,199,16,0.009754724
261,261,draw_101,214,8,0.017753949
262,262,draw_101,214,9,0.01674388
263,263,draw_101,214,10,0.015778632
264,264,draw_101,214,11,0.011067468
265,265,draw_101,214,12,0.010988081
266,266,draw_101,214,13,0.014183699
267,267,draw_101,214,14,0.021159911
268,268,draw_101,214,15,0.021679683
269,269,draw_101,214,16,0.009754724
270,270,draw_102,159,8,0.009440907
271,271,draw_102,159,9,0.029087353
272,272,draw_102,159,10,0.027277957
273,273,draw_102,159,11,0.009922863
274,274,draw_102,159,12,0.001872406
275,275,draw_102,159,13,0.021064418
276,276,draw_102,159,14,0.009180007
277,277,draw_102,159,15,0.025331088
278,278,draw_102,159,16,0.010137221
279,279,draw_102,165,8,0.009440907
280,280,draw_102,165,9,0.029087353
281,281,draw_102,165,10,0.027277957
282,282,draw_102,165,11,0.009922863
283,283,draw_102,165,12,0.001872406
284,284,draw_102,165,13,0.021064418
285,285,draw_102,165,14,0.009180007
286,286,draw_102,165,15,0.025331088
287,287,draw_102,165,16,0.010137221
288,288,draw_102,174,8,0.006188863
289,289,draw_102,174,9,0.005910148
290,290,draw_102,174,10,0.007529037
291,291,draw_102,174,11,0.009932177
292,292,draw_102,174,12,0.00961248
293,293,draw_102,174,13,0.008239439
294,294,draw_102,174,14,0.00694855
295,295,draw_102,174,15,0.003745902
296,296,draw_102,174,16,0.004620508
297,297,draw_102,179,8,0.006188863
298,298,draw_102,179,9,0.005910148
299,299,draw_102,179,10,0.007529037
300,300,draw_102,179,11,0.009932177
301,301,draw_102,179,12,0.00961248
302,302,draw_102,179,13,0.008239439
303,303,draw_102,179,14,0.00694855
304,304,draw_102,179,15,0.003745902
305,305,draw_102,179,16,0.004620508
306,306,draw_102,199,8,0.015592842
307,307,draw_102,199,9,0.022564245
308,308,draw_102,199,10,0.010260993
309,309,draw_102,199,11,0.016842719
310,310,draw_102,199,12,0.008954983
311,311,draw_102,199,13,0.015293863
312,312,draw_102,199,14,0.016938218
313,313,draw_102,199,15,0.013889672
314,314,draw_102,199,16,0.017562599
315,315,draw_102,214,8,0.015592842
316,316,draw_102,214,9,0.022564245
317,317,draw_102,214,10,0.010260993
318,318,draw_102,214,11,0.016842719
319,319,draw_102,214,12,0.008954983
320,320,draw_102,214,13,0.015293863
321,321,draw_102,214,14,0.016938218
322,322,draw_102,214,15,0.013889672
323,323,draw_102,214,16,0.017562599
324,324,draw_103,159,8,0.003141051
325,325,draw_103,159,9,0.008272263
326,326,draw_103,159,10,0.001844532
327,327,draw_103,159,11,0.006573037
328,328,draw_103,159,12,0.024060819
329,329,draw_103,159,13,0.01370801
330,330,draw_103,159,14,0.024097549
331,331,draw_103,159,15,0.018125072
332,332,draw_103,159,16,0.000744988
333,333,draw_103,165,8,0.003141051
334,334,draw_103,165,9,0.008272263
335,335,draw_103,165,10,0.001844532
336,336,draw_103,165,11,0.006573037
337,337,draw_103,165,12,0.024060819
338,338,draw_103,165,13,0.01370801
339,339,draw_103,165,14,0.024097549
340,340,draw_103,165,15,0.018125072
341,341,draw_103,165,16,0.000744988
342,342,draw_103,174,8,0.009506776
343,343,draw_103,174,9,0.012433121
344,344,draw_103,174,10,0.010474333
345,345,draw_103,174,11,0.007089973
346,346,draw_103,174,12,0.00930067
347,347,draw_103,174,13,0.004758555
348,348,draw_103,174,14,0.004193292
349,349,draw_103,174,15,0.008238186
350,350,draw_103,174,16,0.015281042
351,351,draw_103,179,8,0.009506776
352,352,draw_103,179,9,0.012433121
353,353,draw_103,179,10,0.010474333
354,354,draw_103,179,11,0.007089973
355,355,draw_103,179,12,0.00930067
356,356,draw_103,179,13,0.004758555
357,357,draw_103,179,14,0.004193292
358,358,draw_103,179,15,0.008238186
359,359,draw_103,179,16,0.015281042
360,360,draw_103,199,8,0.011780893
361,361,draw_103,199,9,0.019423895
362,362,draw_103,199,10,0.018172832
363,363,draw_103,199,11,0.011016598
364,364,draw_103,199,12,0.022615387
365,365,draw_103,199,13,0.017266903
366,366,draw_103,199,14,0.017107422
367,367,draw_103,199,15,0.007429851
368,368,draw_103,199,16,0.073680466
369,369,draw_103,214,8,0.011780893
370,370,draw_103,214,9,0.019423895
371,371,draw_103,214,10,0.018172832
372,372,draw_103,214,11,0.011016598
373,373,draw_103,214,12,0.022615387
374,374,draw_103,214,13,0.017266903
375,375,draw_103,214,14,0.017107422
376,376,draw_103,214,15,0.007429851
377,377,draw_103,214,16,0.073680466
378,378,draw_104,159,8,0.01328647
379,379,draw_104,159,9,0.001131065
380,380,draw_104,159,10,0.004251381
381,381,draw_104,159,11,0.00522155
382,382,draw_104,159,12,0.046869814
