,draw,location_id,value,location_name
2000,draw_0,214,0.559525219,Nigeria
2001,draw_1,214,0.501319295,Nigeria
2002,draw_2,214,0.555662787,Nigeria
2003,draw_3,214,0.555143964,Nigeria
2004,draw_4,214,0.548901547,Nigeria
2005,draw_5,214,0.509361511,Nigeria
2006,draw_6,214,0.540536122,Nigeria
2007,draw_7,214,0.562019452,Nigeria
2008,draw_8,214,0.562649921,Nigeria
2009,draw_9,214,0.585942403,Nigeria
2010,draw_10,214,0.521423096,Nigeria
2011,draw_11,214,0.52049254,Nigeria
2012,draw_12,214,0.52792889,Nigeria
2013,draw_13,214,0.511864583,Nigeria
2014,draw_14,214,0.551171077,Nigeria
2015,draw_15,214,0.525504621,Nigeria
2016,draw_16,214,0.540252435,Nigeria
2017,draw_17,214,0.616112891,Nigeria
2018,draw_18,214,0.612747327,Nigeria
2019,draw_19,214,0.574218752,Nigeria
2020,draw_20,214,0.538629321,Nigeria
2021,draw_21,214,0.594629256,Nigeria
2022,draw_22,214,0.58156488,Nigeria
2023,draw_23,214,0.511234222,Nigeria
2024,draw_24,214,0.557523684,Nigeria
2025,draw_25,214,0.510247322,Nigeria
2026,draw_26,214,0.516158365,Nigeria
2027,draw_27,214,0.536561168,Nigeria
2028,draw_28,214,0.545520433,Nigeria
2029,draw_29,214,0.574896226,Nigeria
2030,draw_30,214,0.591005968,Nigeria
2031,draw_31,214,0.511943466,Nigeria
2032,draw_32,214,0.541496652,Nigeria
2033,draw_33,214,0.579385187,Nigeria
2034,draw_34,214,0.561635638,Nigeria
2035,draw_35,214,0.571859427,Nigeria
2036,draw_36,214,0.566442848,Nigeria
2037,draw_37,214,0.56888828,Nigeria
2038,draw_38,214,0.569725286,Nigeria
2039,draw_39,214,0.648169265,Nigeria
2040,draw_40,214,0.54063208,Nigeria
2041,draw_41,214,0.523805365,Nigeria
2042,draw_42,214,0.538823042,Nigeria
2043,draw_43,214,0.581214951,Nigeria
2044,draw_44,214,0.566269888,Nigeria
2045,draw_45,214,0.545723286,Nigeria
2046,draw_46,214,0.531192422,Nigeria
2047,draw_47,214,0.50525896,Nigeria
2048,draw_48,214,0.599039615,Nigeria
2049,draw_49,214,0.524093353,Nigeria
2050,draw_50,214,0.530930672,Nigeria
2051,draw_51,214,0.512988757,Nigeria
2052,draw_52,214,0.614005155,Nigeria
2053,draw_53,214,0.558857801,Nigeria
2054,draw_54,214,0.558834704,Nigeria
2055,draw_55,214,0.473706519,Nigeria
2056,draw_56,214,0.568096645,Nigeria
2057,draw_57,214,0.5649325,Nigeria
2058,draw_58,214,0.584319802,Nigeria
2059,draw_59,214,0.564622853,Nigeria
2060,draw_60,214,0.605728372,Nigeria
2061,draw_61,214,0.486377396,Nigeria
2062,draw_62,214,0.545943116,Nigeria
2063,draw_63,214,0.533829532,Nigeria
2064,draw_64,214,0.532489274,Nigeria
2065,draw_65,214,0.521308606,Nigeria
2066,draw_66,214,0.564971108,Nigeria
2067,draw_67,214,0.601962567,Nigeria
2068,draw_68,214,0.558295649,Nigeria
2069,draw_69,214,0.596987384,Nigeria
2070,draw_70,214,0.555644014,Nigeria
2071,draw_71,214,0.545707647,Nigeria
2072,draw_72,214,0.620337256,Nigeria
2073,draw_73,214,0.518664563,Nigeria
2074,draw_74,214,0.523321098,Nigeria
2075,draw_75,214,0.593570174,Nigeria
2076,draw_76,214,0.528265877,Nigeria
2077,draw_77,214,0.533678985,Nigeria
2078,draw_78,214,0.511395117,Nigeria
2079,draw_79,214,0.618545852,Nigeria
2080,draw_80,214,0.565133914,Nigeria
2081,draw_81,214,0.545136416,Nigeria
2082,draw_82,214,0.528736836,Nigeria
2083,draw_83,214,0.537346818,Nigeria
2084,draw_84,214,0.581167867,Nigeria
2085,draw_85,214,0.601934874,Nigeria
2086,draw_86,214,0.508689811,Nigeria
2087,draw_87,214,0.601140328,Nigeria
2088,draw_88,214,0.528895632,Nigeria
2089,draw_89,214,0.499767539,Nigeria
2090,draw_90,214,0.562369424,Nigeria
2091,draw_91,214,0.605067328,Nigeria
2092,draw_92,214,0.527309542,Nigeria
2093,draw_93,214,0.563149119,Nigeria
2094,draw_94,214,0.584001762,Nigeria
2095,draw_95,214,0.52529144,Nigeria
2096,draw_96,214,0.561885862,Nigeria
2097,draw_97,214,0.564766549,Nigeria
2098,draw_98,214,0.541231219,Nigeria
2099,draw_99,214,0.539056367,Nigeria
2100,draw_100,214,0.617446684,Nigeria
2101,draw_101,214,0.588914475,Nigeria
2102,draw_102,214,0.622741801,Nigeria
2103,draw_103,214,0.540749016,Nigeria
2104,draw_104,214,0.533959798,Nigeria
2105,draw_105,214,0.539122288,Nigeria
2106,draw_106,214,0.491851585,Nigeria
2107,draw_107,214,0.503906381,Nigeria
2108,draw_108,214,0.527522061,Nigeria
2109,draw_109,214,0.538234167,Nigeria
2110,draw_110,214,0.54616444,Nigeria
2111,draw_111,214,0.564571006,Nigeria
2112,draw_112,214,0.529833295,Nigeria
2113,draw_113,214,0.569797832,Nigeria
2114,draw_114,214,0.547613974,Nigeria
2115,draw_115,214,0.591888046,Nigeria
2116,draw_116,214,0.601277183,Nigeria
2117,draw_117,214,0.559352246,Nigeria
2118,draw_118,214,0.57230598,Nigeria
2119,draw_119,214,0.590737419,Nigeria
2120,draw_120,214,0.556403753,Nigeria
2121,draw_121,214,0.569565203,Nigeria
2122,draw_122,214,0.57677736,Nigeria
2123,draw_123,214,0.481471593,Nigeria
2124,draw_124,214,0.526783024,Nigeria
2125,draw_125,214,0.524492602,Nigeria
2126,draw_126,214,0.489604595,Nigeria
2127,draw_127,214,0.501205723,Nigeria
2128,draw_128,214,0.569506331,Nigeria
2129,draw_129,214,0.482466109,Nigeria
2130,draw_130,214,0.528468703,Nigeria
2131,draw_131,214,0.539823201,Nigeria
2132,draw_132,214,0.552878622,Nigeria
2133,draw_133,214,0.511630308,Nigeria
2134,draw_134,214,0.532933528,Nigeria
2135,draw_135,214,0.557780612,Nigeria
2136,draw_136,214,0.557432574,Nigeria
2137,draw_137,214,0.584749477,Nigeria
2138,draw_138,214,0.589923452,Nigeria
2139,draw_139,214,0.527110124,Nigeria
2140,draw_140,214,0.484466232,Nigeria
2141,draw_141,214,0.570879784,Nigeria
2142,draw_142,214,0.586324154,Nigeria
2143,draw_143,214,0.547429981,Nigeria
2144,draw_144,214,0.499017748,Nigeria
2145,draw_145,214,0.587656834,Nigeria
2146,draw_146,214,0.545370633,Nigeria
2147,draw_147,214,0.579341456,Nigeria
2148,draw_148,214,0.56764295,Nigeria
2149,draw_149,214,0.562899259,Nigeria
2150,draw_150,214,0.543798424,Nigeria
2151,draw_151,214,0.547399168,Nigeria
2152,draw_152,214,0.535280676,Nigeria
2153,draw_153,214,0.552205651,Nigeria
2154,draw_154,214,0.496239914,Nigeria
2155,draw_155,214,0.502111875,Nigeria
2156,draw_156,214,0.603465008,Nigeria
2157,draw_157,214,0.599848655,Nigeria
2158,draw_158,214,0.559233241,Nigeria
2159,draw_159,214,0.51075532,Nigeria
2160,draw_160,214,0.562398962,Nigeria
2161,draw_161,214,0.605992365,Nigeria
2162,draw_162,214,0.576470791,Nigeria
2163,draw_163,214,0.523180292,Nigeria
2164,draw_164,214,0.540763428,Nigeria
2165,draw_165,214,0.580729165,Nigeria
2166,draw_166,214,0.567542953,Nigeria
2167,draw_167,214,0.510548768,Nigeria
2168,draw_168,214,0.576401513,Nigeria
2169,draw_169,214,0.533344081,Nigeria
2170,draw_170,214,0.557656368,Nigeria
2171,draw_171,214,0.502896727,Nigeria
2172,draw_172,214,0.513369291,Nigeria
2173,draw_173,214,0.60864226,Nigeria
2174,draw_174,214,0.570091242,Nigeria
2175,draw_175,214,0.55131602,Nigeria
2176,draw_176,214,0.55687091,Nigeria
2177,draw_177,214,0.610168785,Nigeria
2178,draw_178,214,0.603567586,Nigeria
2179,draw_179,214,0.546716687,Nigeria
2180,draw_180,214,0.569891301,Nigeria
2181,draw_181,214,0.502414883,Nigeria
2182,draw_182,214,0.518357241,Nigeria
2183,draw_183,214,0.590451583,Nigeria
2184,draw_184,214,0.553689453,Nigeria
2185,draw_185,214,0.592457659,Nigeria
2186,draw_186,214,0.547035384,Nigeria
2187,draw_187,214,0.478503471,Nigeria
2188,draw_188,214,0.553875401,Nigeria
2189,draw_189,214,0.634717876,Nigeria
2190,draw_190,214,0.531115521,Nigeria
2191,draw_191,214,0.540017158,Nigeria
2192,draw_192,214,0.570435754,Nigeria
2193,draw_193,214,0.540092042,Nigeria
2194,draw_194,214,0.498729556,Nigeria
2195,draw_195,214,0.543119516,Nigeria
